"","Ck.2","Ck.3","Ck.4","Ck.5","Ck.6","Ck.7","Ck.8","Ck.9","Ck.10","alg"
"1",0.622203858250818,0.691508896074975,0.545315315235445,0.406586866230899,0.30779718552931,0.337786713364047,0.342719085068731,0.297936416122224,0.321518972805871,1
"2",0.670782283699071,0.19915164940737,0.578261271310053,0.427566151170838,0.462101537859071,0.501581961057379,0.35917829015893,0.417926705791461,0.451000067322504,1
"3",0.738211928607508,0.216673726170683,0.637845831812899,0.433043284595236,0.301718551101374,0.301762995489775,0.345600092933194,0.366851737542453,0.295335842044464,1
"4",0.687336538142782,0.674921397273762,0.57536786129506,0.188838303634173,0.34630341769924,0.398360808733641,0.347145705390239,0.281720067340594,0.355259916999563,1
"5",0.515878065308553,0.206766678461948,0.5508897307616,0.456376742653435,0.398974957166236,0.358673070105539,0.306236533858162,0.266323966175711,0.355653555670632,1
"6",0.48746151795021,0.418204931221234,0.476673875588246,0.363673220386235,0.416792163963817,0.504830640455662,0.270118791303372,0.3551512001219,0.348495977898634,1
"7",0.545261588842298,0.487618895355121,0.573037710583902,0.245024544012612,0.496610584198417,0.472882412074108,0.269882767341517,0.388273303624865,0.309687926800336,1
"8",0.622228630740909,0.454153200466701,0.618995054591434,0.51148440510533,0.354750822425982,0.364452049926516,0.362576230781793,0.378313219251854,0.235554555578815,1
"9",0.721109544686137,0.349712072716377,0.443976203412791,0.552767710038972,0.522027604401491,0.416417329223171,0.435442915206406,0.335354022510934,0.289899054785815,1
"10",0.721102287999103,0.687360393269485,0.580967845577838,0.532379494805334,0.425757614528273,0.448524534666989,0.250652354519349,0.34410473226297,0.345916901983945,1
"11",0.738289606855633,0.737939271622878,0.563796040192309,0.45349450327541,0.284887713363135,0.349184700688809,0.366567123596086,0.351267497927519,0.357866916817091,1
"12",0.638226762111644,0.22962007784028,0.592989743762013,0.503330489617601,0.514477750639104,0.336076901766618,0.402770736023968,0.337851507528455,0.311889484385656,1
"13",0.791054537704484,0.170496862628556,0.58417813056646,0.42400878920834,0.300754302142791,0.333405311261592,0.29770494557576,0.331875707278919,0.340010045006142,1
"14",0.575517330174007,0.732618242998206,0.49595928435508,0.317892978838882,0.342631773404007,0.381109144964698,0.343955281573216,0.23910613655689,0.331203549157078,1
"15",0.545331404769278,0.239174975803078,0.521966371802664,0.524002936673092,0.398547516492715,0.389657804223734,0.324786519796217,0.267047372809483,0.380625997896212,1
