"","sweet","salt","sour","bitter","umami"
"228","4","5","4","0","1"
"229","2","3","3","0","3"
"230","3","1","3","3","1"
"231","2","2","3","4","3"
"232","3","2","4","0","1"
"233","3","4","4","0","4"
"234","2","1","1","3","1"
"235","3","0","1","0","2"
"236","0","1","1","0","1"
"237","2","2","2","0","3"
"238","2","2","1","2","0"
"239","0","0","1","0","0"
"240","2","2","3","4","2"
"241","4","4","4","0","2"
"242","5","3","4","3","2"
"243","1","0","0","3","0"
"244","2","0","0","1","1"
"245","4","2","2","1","2"
"246","4","5","4","1","2"
"247","4","2","3","5","3"
"248","2","1","4","0","3"
"249","3","4","3","0","2"
"250","3","3","5","0","1"
"251","0","4","2","0","2"
"252","2","3","4","0","4"
"253","2","3","2","0","1"
"254","3","2","2","2","2"
"255","1","1","2","0","1"
"256","3","4","4","1","3"
"257","2","1","1","0","2"
"258","3","3","4","0","3"
"259","3","3","2","3","2"
"260","2","3","2","2","1"
"261","3","3","2","0","1"
"262","3","5","5","2","4"
"263","3","4","3","3","2"
"264","2","3","3","2","2"
"265","4","3","3","0","3"
"266","4","2","3","4","0"
"267","1","1","1","3","0"
"268","5","4","4","3","3"
"269","2","3","3","1","5"
"270","3","3","3","1","4"
"271","2","2","2","2","1"
"272","1","3","1","1","2"
"273","3","1","3","1","0"
"274","3","5","5","2","3"
"275","2","3","5","2","3"
"276","2","1","4","0","1"
"277","3","3","2","1","0"
"278","1","2","1","1","1"
"279","2","1","1","1","0"
"280","2","3","3","1","3"
"281","1","1","3","1","1"
"282","3","4","4","2","2"
"283","4","2","2","0","1"
"284","2","3","4","0","2"
"285","3","4","3","0","1"
"286","3","1","0","0","0"
"287","3","4","3","0","3"
"288","3","4","4","2","2"
"289","2","3","5","0","2"
"290","2","3","4","4","4"
"291","3","5","5","1","4"
"292","1","4","3","2","3"
"293","3","4","4","0","1"
"294","3","2","3","0","1"
"295","2","4","4","1","2"
"296","1","2","1","0","4"
"297","2","5","5","1","0"
"298","2","3","2","2","1"
"299","5","3","3","2","3"
"300","5","3","3","3","4"
"301","5","4","5","1","5"
"302","3","2","2","0","2"
"303","5","4","4","3","2"
"304","5","4","3","1","1"
"305","1","2","2","3","1"
"306","0","3","0","0","0"
"307","4","3","2","0","5"
"308","1","2","1","1","1"
"309","1","3","2","5","4"
"310","2","4","4","2","1"
"311","1","2","3","0","2"
"312","2","4","4","0","4"
"313","1","3","2","0","2"
"314","3","0","1","0","0"
"315","1","4","2","0","3"
"316","3","2","1","3","1"
"317","4","4","1","2","2"
"318","1","1","1","2","4"
"319","1","1","0","1","1"
"320","4","5","5","1","4"
"321","3","4","3","0","2"
"322","3","1","4","2","4"
"323","2","3","2","0","5"
"324","2","2","3","4","4"
"325","5","4","2","3","2"
"326","1","1","1","3","1"
"327","3","5","5","3","2"
"328","2","2","2","3","1"
"329","3","1","3","1","4"
"330","2","0","1","0","0"
"331","1","2","1","0","3"
"332","2","3","2","1","1"
"333","3","2","3","4","2"
"334","3","1","2","0","2"
"335","4","5","5","1","3"
"336","2","2","1","3","0"
"337","5","4","4","3","3"
"338","1","3","1","0","1"
"339","2","5","3","3","2"
"340","4","3","2","0","2"
"341","4","4","2","3","2"
"342","1","2","2","0","4"
"343","2","2","4","0","2"
"344","3","4","3","1","2"
"345","2","1","3","3","3"
"346","3","4","3","1","3"
"347","1","1","1","0","1"
"348","1","1","0","2","0"
"349","1","2","2","3","0"
"350","2","5","2","3","3"
"351","1","2","1","2","1"
"352","5","5","4","0","4"
"353","1","3","4","1","1"
"354","5","3","5","1","1"
"355","3","5","4","5","3"
"356","3","1","2","3","4"
"357","0","2","2","0","4"
"358","1","3","4","3","1"
"359","1","2","1","3","0"
"360","3","4","2","1","2"
"361","0","2","1","0","1"
"362","3","2","3","0","4"
"363","4","3","2","3","3"
"364","1","2","2","1","1"
"365","4","0","1","0","0"
"366","1","1","2","1","3"
"367","4","4","3","3","1"
"368","4","4","4","2","3"
"369","0","3","2","2","2"
"370","5","1","1","1","3"
"371","3","1","3","3","3"
"372","2","2","2","2","2"
"373","2","4","2","2","3"
"374","3","4","3","1","2"
"375","2","1","2","0","2"
"376","5","2","2","2","2"
"377","2","0","1","3","1"
"378","3","1","1","2","1"
"379","2","0","0","0","0"
"380","1","2","2","3","3"
"381","1","2","1","0","0"
"382","1","2","2","5","3"
"383","1","1","3","4","5"
"384","1","1","2","0","1"
"385","3","5","2","1","1"
"386","3","2","3","2","0"
"387","3","4","4","3","4"
"388","2","3","1","3","3"
"389","2","2","2","1","2"
"390","1","2","5","0","0"
"391","2","1","2","1","3"
"392","1","2","2","0","0"
"393","1","3","1","2","1"
"394","5","3","3","2","3"
"395","2","1","2","0","2"
"396","2","3","3","1","3"
"397","3","2","2","1","4"
"398","5","3","5","2","3"
"399","2","2","2","1","3"
"400","3","2","4","4","3"
